lo_id,hi_id,lo_wins,hi_wins
101320,101820,0,1
101320,101897,1,1
101320,101962,0,1
101320,101965,1,0
101320,102021,0,2
101320,102025,1,0
101320,102148,0,1
101320,102158,0,1
101320,102179,0,1
101320,102198,1,0
101320,102231,1,0
101320,102247,1,1
101320,102257,0,1
101320,102259,1,0
101320,102286,1,0
101320,102318,2,0
101320,102338,0,1
101320,102344,1,0
101320,102374,1,0
101320,102382,0,1
101320,102477,1,0
101320,102494,0,1
101320,102548,1,0
101320,102563,1,1
101320,102615,2,0
101320,102765,1,1
101320,102770,1,0
101320,102788,0,1
101320,102817,1,0
101320,102860,0,1
101320,102880,1,0
101320,102882,0,1
101320,102911,1,0
101320,103003,1,0
101320,103018,1,0
101320,103061,1,0
101320,103066,1,0
101320,103084,1,0
101320,103118,1,0
101320,103153,0,1
101320,103163,0,2
101320,103166,0,1
101320,103171,1,0
101320,103182,0,1
101320,103193,0,1
101320,103206,0,1
101320,103420,0,1
101320,103428,0,1
101320,103454,1,0
101320,103507,1,0
101320,103720,0,2
101320,103888,1,0
101320,104014,1,0
101320,104022,0,1
101320,104026,1,0
101320,104053,0,1
101320,104076,0,1
101320,210013,0,1
101339,104431,0,1
101339,104738,0,1
101339,105398,1,0
101339,105633,0,1
101373,102021,0,1
101373,102318,1,0
101373,102369,1,0
101373,102730,0,1
101373,102996,0,1
101373,103171,0,1
101373,103201,1,0
101373,103420,0,1
101382,101772,0,1
101382,102539,0,1
101382,103454,0,1
101382,103598,0,1
101389,102083,0,1
101389,102087,1,0
101389,102458,0,1
101389,102538,0,1
101389,102572,0,1
101389,102670,2,0
101389,102730,0,1
101389,102734,0,1
101389,102939,0,1
101389,102957,0,1
101389,103009,0,1
101389,103060,0,1
101389,103061,0,1
101389,103104,0,1
101389,103110,0,1
101389,103114,0,1
101389,103198,1,0
101389,103403,1,0
101389,103459,1,0
101389,103754,1,0
101389,103835,1,0
101397,102763,0,1
101404,102999,0,1
101404,103035,0,2
101404,103851,0,1
101404,103926,0,1
101404,104095,0,1
101404,104112,0,1
101404,104259,0,1
101404,104460,0,1
101404,104559,0,1
101404,104739,0,1
101404,104770,0,2
101404,104851,0,2
101404,104869,0,1
101404,104890,0,2
101404,104919,1,0
101404,105060,0,1
101404,105137,0,1
101404,105383,0,1
101404,105590,0,1
101404,105649,0,1
101404,105696,1,0
101404,106233,0,1
101416,101924,1,0
101416,102165,1,0
101416,102979,0,2
101416,102983,0,1
101416,103182,0,1
101416,103420,0,1
101416,103820,1,0
101416,103824,0,1
101416,103995,1,0
101416,104000,0,1
101434,102709,0,1
